"","","","","2022.11.01","","","","","","","","","",""
"","","","Fire","","1","2","","","","1","","","",""
"","","Godakawela","","","","","","","","","","","",""
"","","","Cutting Faliure","2022.11.09","1","4","","","","1","","","",""
"","","","Heavy Rain","2022.11.14","1","3","","","","1","","","",""
"","","","Lightning","2022.11.01","1","5","","","","1","","","",""
"","","Kiriella","","","","","","","","","","","",""
"","","","Lightning","2022.11.14","1","4","","","","1","","","",""
"","","","Heavy Rain/High wind","2022.11.01","2","5","","","","2","","","",""
"","","Opanayaka","","","","","","","","","","","",""
"","","","Fire","2022.11.01","1","1","","","","1","","","",""
"","","රත්නපුර","","","","","","","","","","","",""
"","","","Flood","","2","2","","2","","","","","",""
"","1",",uj;jpdGhp","","","","","","","","","","","",""
"","","Rathnapura","Landslide","2022.11.09","4","17","","","","4","","","",""
"","","Kolonna","Lightning","","1","2","","","","1","","","",""
"","","","Land Slide","2022.11.10","1","3","","","","1","","","",""
"","","","Land Slide/Cutting","","","","","","","","","","",""
"","","","","2022.11.12/14","3","14","","","","3","","","",""
"","","","Faliure","","","","","","","","","","",""
"","","Balangoda","Heavy Rain/High wind","2022.11.01","1","3","","","","1","","","",""
"","","","Heavy Rain","2022.11.10","1","4","","","","1","","","",""
"","","kahawatta","","","","","","","","","","","",""
"","","","High Wind","2022.11.14","1","5","","","","1","","","",""
"","","","Lightning/Cutting","","","","","","","","","","",""
"","","Rathnapura","","2022.11.12/14","3","13","","","","3","","","",""
"","","","Failure","","","","","","","","","","",""
"","","Kalthota","Heavy Rain","2022.11.14","1","1","","","","1","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","30","101","0","2","0","0
27","0
0","0
0","0",""
"","","Yatiyantota","Lightnng","2022.11.07","1","2","","","","1","","","",""
"","","","Heavy Rain","2022.11.07","1","3","","","","1","","","",""
"","","","Lightning","2022.11.04","1","4","","","","1","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"","","","Heavy Rain","2022.11.07","1","3","","","","1","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"","","","Cutting Faliure","2022.11.07","1","4","","","","1","","","",""
"Sabaragamuwa","","Warakapola","","","","","","","","","","","",""
"","","","Heavy rain","2022.11.13","2","4","","","","2","","","",""
"","","","Cutting Faliure","2022.11.14","1","5","","","","1","","","",""
"","","","Tree Fallen","2022.11.14","1","3","","","","1","","","",""
"","","","Cutting Faliure","2022.11.14","1","1","","","","1","","","",""
"","","","Lightning","2022.11.05","4","19","","","","4","","","",""
"","","","Rock Fallen","2022.11.05","1","3","","","","1","","","",""
"","","Ruwanwella","","","","","","","","","","","",""
"","","","Tree Fallen","2022.11.06","2","8","","","","2","","","",""
"","","","Tree Fallen","2022.11.12","2","3","","","","2","","","",""
"","","","Lightning","2022.11.05","1","4","","","","1","","","",""
"","","Deraniyagala","","","","","","","","","","","",""
"","","කෑගල්ල","Tree Fallen","2022.11.14","2","8","","","","2","","","",""
"","2","","","","","","","","","","","","",""
"","","Nffhiy  Kegalle
Aranayake","Lanslide Risk","2022.11.03","2","10","","","","","","","",""
"","","","Heavy Rain","2022.11.07","1","2","","","","1","","","",""
"","","Dehiowita","Tree Fallen","2022.11.11","1","5","","","","1","","","",""
"","","","Fire","2022.11.14","1","2","","","","1","","","",""
"","","","Collapses of wall","2022.11.05","1","1","","","","1","","","",""
"","","Kegalle","","2022.11.04","1","3","","","","1","","","",""
"","","","Tree Fallen","","","","","","","","","","",""
"","","","","2022.11.15","1","2","","","","1","","","",""
"","","","Lightning","2022.11.04","7","25","","","","7","","","",""
"","","","Rock Fallen","2022.11.05","1","6","","","","1","","","",""
"","","","","2022.11.06","2","10","","","","2","","","",""
"","","Mawanella","Heavy Rain","","","","","","","","","","",""
"","","","","2022.11.07","2","6","","","","2","","","",""
